Porcien
Chablais savoyard
Briançonnais
Garrigues
Donezan
Haut-Agenais
Val de Loire orléanais
Beaujolais
Puisaye
Marquenterre
Pays d'Horte et Tardoire
Pays de Lusignan et de Vouillé
Bocage virois
Drouais
Airais
Razès
Fezensaguet
Grands Causses
Campagne d'Alençon
Arroustang
Lodévois
Nébouzan
Bresse
Pays d'Uzerche
Petite Montagne
Tardenois
Massif des Maures
Perche (région naturelle)
Margeride
Apance-Amance
Ponthieu
Pays d'Ouche
Gimoès
Anciennes provinces de France
Viadène
Pays d'Yveline
Gabardan
Poitevin
Cap Corse
Châtelleraudais
Marais vendéen
Pays Toy
Maurienne
Tricastin
Gaillacois
Montagne de Reims
Bergeracois
Astarac
Chaumontais
Thiérache
Bassigny
Bocage vendéen
Gâtine
Brulhois
Freto
Pays d'Ancenis
Giennois
Haut-Adour
Baugeois
Pays de Gaure
Beaufortain
Pays vençois
Barousse
Tursan
Langrois
Comtat Venaissin
Périgord noir
Limagne bourbonnaise
Forez
Volvestre
Baronnies des Pyrénées
Gâtine de Loches
Pays d'Apt
Comminges
Audomarois
Rivière-Basse
Argonne
Pays basque
Mâconnais
Capcir
Revermont
Vallée de l'Ubaye
Bigorre
Noyonnais
Basse Saintonge
Cotentin
Avallonnais
Forêt de Haguenau
